idx,basic_situation,dilemma_situation,action_type,action,negative_consequence,parties_direct,parties_indirect,values_direct,values_indirect,reason_direct,reason_indirect,values_names,values_types,wvs,mft,virtue,emotion,maslow,background,topic,topic_group
284,harming your body with drugs.,"John is a medical professional well-versed with the harmful effects of drugs on the body. However, he is tempted to use performance-enhancing drugs to win an upcoming sports event. Should John use the drugs to secure a victory, knowing the potential damage they could cause to his body?",to_do,Use performance-enhancing drugs,"John succumbs to temptation and uses the drugs. He wins the event but suffers severe side effects, including heart problems and liver damage. His professional reputation is tarnished when his drug use is discovered, and he loses his medical license.","['John', 'John', 'Sports event organizers', 'Medical licensing board']","[""John's family"", ""John's patients"", 'Sports event audience', 'Other competitors']","['Health', 'Honesty', 'Fairness', 'Professionalism']","['Trust', 'Safety', 'Honesty', 'Respect']","['John risks his health by using harmful drugs.', 'John deceives others by using drugs to enhance his performance.', 'The organizers expect a fair competition without drug use.', 'The board expects John to uphold medical ethics.']","[""John's family trusts him to make healthy choices."", ""John's patients trust him to prioritize health over personal gain."", 'The audience expects an honest competition.', 'Other competitors deserve a fair competition.']","['health', 'honesty', 'fairness', 'professionalism', 'trust', 'safety', 'honesty', 'respect']","['direct', 'direct', 'direct', 'direct', 'indirect', 'indirect', 'indirect', 'indirect']","['Survival', nan, 'Secular-rational', nan, 'Survival', 'Survival', nan, 'Self-expression']","['Purity', 'Fairness', 'Fairness', 'Authority', 'Loyalty', 'Care', 'Fairness', 'Authority']","[nan, 'Truthfulness', nan, nan, nan, nan, 'Truthfulness', nan]","[nan, 'trust', 'trust', nan, 'trust', 'trust', 'trust', 'trust']","['safety', 'self-esteem', 'self-esteem', 'self-esteem', 'love and belonging', 'safety', 'self-esteem', 'self-esteem']",is a medical professional well-versed with the harmful effects of drugs on the body,27,issue_wildlife_human_environment
284,harming your body with drugs.,"John is a medical professional well-versed with the harmful effects of drugs on the body. However, he is tempted to use performance-enhancing drugs to win an upcoming sports event. Should John use the drugs to secure a victory, knowing the potential damage they could cause to his body?",not_to_do,Refrain from using performance-enhancing drugs,"John decides against using the drugs. He loses the sports event but maintains his health and professional integrity. However, he faces disappointment and ridicule for his loss, affecting his self-esteem.","['John', 'John', 'Sports event organizers', 'Other competitors']","[""John's family"", ""John's patients"", 'Sports event audience']","['Health', 'Integrity', 'Fairness', 'Respect']","['Trust', 'Safety', 'Honesty']","['John preserves his health by not using harmful drugs.', 'John maintains his integrity by competing fairly.', 'The organizers expect a fair competition without drug use.', 'Other competitors deserve a fair competition.']","[""John's family trusts him to make healthy choices."", ""John's patients trust him to prioritize health over personal gain."", 'The audience expects an honest competition.']","['health', 'integrity', 'fairness', 'respect', 'trust', 'safety', 'honesty']","['direct', 'direct', 'direct', 'direct', 'indirect', 'indirect', 'indirect']","['Survival', nan, 'Secular-rational', 'Self-expression', 'Survival', 'Survival', nan]","['Purity', 'Fairness', 'Fairness', 'Authority', 'Loyalty', 'Care', 'Fairness']","[nan, nan, nan, nan, nan, nan, 'Truthfulness']","[nan, 'trust', 'trust', 'trust', 'trust', 'trust', 'trust']","['safety', 'self-esteem', 'self-esteem', 'self-esteem', 'love and belonging', 'safety', 'self-esteem']",is a medical professional well-versed with the harmful effects of drugs on the body,27,issue_wildlife_human_environment
287,not doing something that is not your responsibility.,"You are an employee in a company and your colleague is consistently underperforming. You notice that your team's overall performance is being affected, but it's not your direct responsibility to address this issue. Should you report your colleague's underperformance to your manager?",to_do,Report the underperformance,"You report your colleague's underperformance to your manager. The manager confronts your colleague, causing tension and hostility in the team. Your colleague feels betrayed and the work environment becomes uncomfortable, affecting team morale and productivity.","['You', 'You', 'Your colleague', 'Your colleague', 'Your manager', 'Your manager']","['Other team members', 'Other team members', 'The company', 'The company']","['honesty', 'responsibility', 'accountability', 'improvement', 'fairness', 'leadership']","['cooperation', 'unity', 'productivity', 'integrity']","['You are being truthful about the situation.', ""You are taking action to improve the team's performance."", 'They need to take responsibility for their underperformance.', 'They have the opportunity to improve their performance.', 'They need to address the issue without bias.', 'They need to guide the team effectively.']","[""They need to work together to improve the team's performance."", 'They need to maintain a positive team environment.', ""The company's overall productivity is affected."", ""The company's reputation is at stake.""]","['honesty', 'responsibility', 'accountability', 'fairness', 'leadership', 'cooperation', 'unity', 'productivity', 'integrity']","['direct', 'direct', 'direct', 'direct', 'direct', 'indirect', 'indirect', 'indirect', 'indirect']","[nan, 'Traditional', 'Secular-rational', 'Secular-rational', 'Secular-rational', 'Self-expression', nan, 'Survival', nan]","['Fairness', 'Authority', 'Fairness', 'Fairness', 'Authority', 'Fairness', 'Loyalty', nan, 'Fairness']","['Truthfulness', nan, nan, nan, nan, nan, nan, nan, nan]","['trust', nan, nan, 'trust', nan, 'trust', nan, nan, 'trust']","['self-esteem', 'self-esteem', 'self-esteem', 'self-esteem', 'self-esteem', 'love and belonging', 'love and belonging', 'self-esteem', 'self-esteem']",are an employee in a company and your colleague is consistently underperforming,7,workplace
287,not doing something that is not your responsibility.,"You are an employee in a company and your colleague is consistently underperforming. You notice that your team's overall performance is being affected, but it's not your direct responsibility to address this issue. Should you report your colleague's underperformance to your manager?",not_to_do,Not report the underperformance,"You decide not to report your colleague's underperformance. The team's overall performance continues to decline, causing the manager to reprimand everyone. Your own performance and reputation suffer as a result, and you feel frustrated and demotivated.","['You', 'You', 'Your colleague', 'Your colleague']","['Your manager', 'Your manager', 'Other team members', 'Other team members', 'The company', 'The company']","['patience', 'loyalty', 'self', 'self']","['leadership', 'understanding', 'solidarity', 'patience', 'resilience', 'perseverance']","['You are giving your colleague time to improve.', 'You are showing loyalty to your colleague by not reporting them.', 'awareness', 'improvement']","['They need to identify and address the issue themselves.', ""They need to understand the team's dynamics."", 'They need to support each other despite the underperformance.', 'They need to be patient with their underperforming colleague.', 'The company needs to withstand the temporary dip in performance.', 'The company needs to continue striving for success despite setbacks.']","['patience', 'loyalty', 'self', 'self', 'leadership', 'understanding', 'solidarity', 'patience', 'resilience', 'perseverance']","['direct', 'direct', 'direct', 'direct', 'indirect', 'indirect', 'indirect', 'indirect', 'indirect', 'indirect']","[nan, 'Traditional', nan, nan, 'Secular-rational', nan, 'Self-expression', nan, 'Survival', nan]","[nan, 'Loyalty', nan, nan, 'Authority', 'Care', 'Loyalty', nan, nan, nan]","['Patience', nan, nan, nan, nan, nan, nan, 'Patience', nan, nan]","['anticipation', 'trust', nan, nan, nan, 'trust', 'trust', 'anticipation', nan, nan]","[nan, 'love and belonging', 'self-esteem', 'self-esteem', 'self-esteem', 'self-actualization', 'love and belonging', nan, 'self-esteem', 'self-actualization']",are an employee in a company and your colleague is consistently underperforming,7,workplace
310,giving feedback to others.,"As a team leader, you've been asked to evaluate the performance of your team members. One of your team members is a close personal friend, but their performance has been subpar recently. Should you give your friend a positive review to maintain your relationship or be honest about their performance potentially damaging your friendship?",to_do,Giving a positive review,"You decide to give your friend a positive review despite their poor performance. However, your superiors notice the discrepancy between your review and their actual performance. This leads to questions about your integrity and ability to lead, potentially jeopardizing your position.","['You', 'Your friend']","['Your superiors', 'Your team']","['Integrity', 'Accountability']","['Trust', 'Teamwork']","[""Your integrity is questioned as you're not being truthful in your evaluation."", 'Your friend may not realize the need for improvement if their shortcomings are not pointed out.']","[""Your superiors' trust in your judgement may wane if they notice the discrepancy in your review."", ""The team's overall performance may suffer if underperforming members are not held accountable.""]","['integrity', 'accountability', 'trust', 'teamwork']","['direct', 'direct', 'indirect', 'indirect']","[nan, 'Secular-rational', 'Survival', nan]","['Fairness', 'Fairness', 'Loyalty', 'Loyalty']","[nan, nan, nan, nan]","['trust', nan, 'trust', 'trust']","['self-esteem', 'self-esteem', 'love and belonging', 'love and belonging']","a team leader, you've been asked to evaluate the performance of your team members",7,workplace
310,giving feedback to others.,"As a team leader, you've been asked to evaluate the performance of your team members. One of your team members is a close personal friend, but their performance has been subpar recently. Should you give your friend a positive review to maintain your relationship or be honest about their performance potentially damaging your friendship?",not_to_do,Being honest about their performance,"You choose to be honest about your friend's performance. They take your feedback personally and your friendship suffers. However, your superiors appreciate your honesty and your team's performance improves over time.","['You', 'Your friend']","['Your superiors', 'Your team']","['Honesty', 'Acceptance']","['Trust', 'Fairness']","['You uphold your honesty by providing a truthful evaluation.', 'Your friend has the opportunity to accept their shortcomings and work on them.']","[""Your superiors' trust in you is reinforced by your honest evaluation."", 'The team feels a sense of fairness when everyone is held to the same standards.']","['honesty', 'acceptance', 'trust', 'fairness']","['direct', 'direct', 'indirect', 'indirect']","[nan, nan, 'Survival', 'Secular-rational']","['Fairness', 'Care', 'Loyalty', 'Fairness']","['Truthfulness', nan, nan, nan]","['trust', 'trust', 'trust', 'trust']","['self-esteem', 'love and belonging', 'love and belonging', 'self-esteem']","a team leader, you've been asked to evaluate the performance of your team members",7,workplace
337,having second thoughts about having kids when your wife gets pregnant because it's too late by then,"John and Mary have always planned to start a family, but when Mary becomes pregnant, John begins to have second thoughts. He loves his wife but feels unprepared for the responsibility of a child, and contemplates suggesting an abortion, a choice which contradicts their shared values. Should John voice his fears and suggest an abortion, potentially causing emotional harm to his wife?",to_do,Suggesting an abortion,"John finally decides to suggest an abortion. Mary is devastated, feeling betrayed and hurt. Their relationship suffers greatly, with Mary questioning John's commitment and love. Their marriage becomes strained, filled with resentment and mistrust.","['John', 'Mary']","['Their immediate family', 'Potential child']","['honesty', 'respect']","['open communication', 'right to life']","['John believes in expressing his fears and doubts to Mary.', ""Mary deserves to know John's feelings and concerns.""]","[""The family should be aware of the couple's struggles to provide support."", ""The unborn child's potential life is at stake.""]","['honesty', 'respect', 'open communication', 'right to life']","['direct', 'direct', 'indirect', 'indirect']","[nan, 'Self-expression', 'Self-expression', 'Traditional']","['Fairness', 'Authority', 'Fairness', 'Fairness']","['Truthfulness', nan, 'Truthfulness', nan]","['trust', 'trust', 'trust', nan]","['self-esteem', 'self-esteem', 'love and belonging', 'physiological']","and  have always planned to start a family, but when  becomes pregnant,  begins to have second thoughts",25,issue_pregnancy
337,having second thoughts about having kids when your wife gets pregnant because it's too late by then,"John and Mary have always planned to start a family, but when Mary becomes pregnant, John begins to have second thoughts. He loves his wife but feels unprepared for the responsibility of a child, and contemplates suggesting an abortion, a choice which contradicts their shared values. Should John voice his fears and suggest an abortion, potentially causing emotional harm to his wife?",not_to_do,Not suggesting an abortion,"John decides not to suggest an abortion, keeping his fears to himself. However, his anxiety and unpreparedness manifest in other ways, causing him to become distant and irritable. Mary, unaware of his fears, feels neglected and their relationship suffers.","['John', 'Mary']","['Their immediate family', 'Unborn child']","['self', 'trust']","['unity', 'right to life']","['control', 'Mary trusts John to support her during the pregnancy.']","[""The family remains unaware of John's fears, maintaining a sense of unity."", ""The unborn child's life is preserved.""]","['self', 'trust', 'unity', 'right to life']","['direct', 'direct', 'indirect', 'indirect']","[nan, 'Survival', nan, 'Traditional']","[nan, 'Loyalty', 'Loyalty', 'Fairness']","[nan, nan, nan, nan]","[nan, 'trust', nan, nan]","['self-esteem', 'love and belonging', 'love and belonging', 'physiological']","and  have always planned to start a family, but when  becomes pregnant,  begins to have second thoughts",25,issue_pregnancy
379,expressing one's style in their home with art,"John is a contemporary artist who loves to fill his home with his own modern art pieces. However, his wife is of Native American descent and feels uncomfortable with some of his art pieces that appear to mimic tribal symbols without recognizing their cultural significance. Should John continue to display these pieces in their shared home?",to_do,Display the art pieces,"John decides to keep his art pieces up. His wife feels disrespected and their relationship becomes strained. She feels her cultural heritage is being trivialized, leading to frequent arguments and a tense home environment.","['John', ""John's wife""]","['Visitors to their home', ""John's art community""]","['Freedom of expression', 'Respect for cultural heritage']","['Cultural sensitivity', 'Artistic freedom']","['John believes in expressing his creativity without restrictions.', ""She feels her culture is being trivialized by John's art.""]","['Visitors may feel uncomfortable if they perceive cultural appropriation.', 'The community values the freedom to create without boundaries.']",['freedom of expression'],['direct'],['Self-expression'],['Fairness'],['Truthfulness'],['optimism'],['self-esteem'],is a contemporary artist who loves to fill his home with his own modern art pieces,39,issue_personal_career
379,expressing one's style in their home with art,"John is a contemporary artist who loves to fill his home with his own modern art pieces. However, his wife is of Native American descent and feels uncomfortable with some of his art pieces that appear to mimic tribal symbols without recognizing their cultural significance. Should John continue to display these pieces in their shared home?",not_to_do,Not display the art pieces,"John chooses not to display his art pieces. He feels stifled and unappreciated, leading to resentment towards his wife. His creativity is suppressed, causing him to lose motivation and passion for his art.","['John', ""John's wife""]","[""John's art community"", 'Potential art buyers']","['Self', 'Cultural respect']","['Artistic compromise', 'Artistic authenticity']","['expression', 'She feels more comfortable when her cultural heritage is respected.']","['The community may feel that John is compromising his artistic integrity.', ""Buyers may question the authenticity of John's art if he is not allowed to display it.""]",['self'],['direct'],[nan],[nan],[nan],[nan],['self-esteem'],is a contemporary artist who loves to fill his home with his own modern art pieces,39,issue_personal_career
393,wasting money on frivolous things.,"John is a single father with limited income, struggling to meet his children's needs. He wins a small amount in the lottery and is tempted to buy a luxurious item he has always desired, instead of saving it for his children's future. Should John indulge in buying the luxury item or save the money for his children's future needs?",to_do,Buying the luxury item,"John buys the luxury item, but soon after, his car breaks down. Without savings, he can't afford the repair, causing him to lose his job due to lack of transportation. His financial situation worsens, making it harder to provide for his children.","['John', 'Luxury item seller']","[""John's children"", ""John's employer""]","['Self', 'Profit']","['Financial insecurity', 'Employee reliability']","['indulgence', ""The seller benefits financially from John's purchase.""]","[""The children's future financial stability is compromised by John's impulsive spending."", ""John's job performance may be affected by his financial instability.""]","['self', 'profit']","['direct', 'direct']","[nan, 'Survival']","[nan, nan]","[nan, nan]","[nan, 'optimism']","['self-esteem', nan]","is a single father with limited income, struggling to meet his children's needs",12,family
